product,May 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025,Jan 2026,Feb 2026,Mar 2026,Apr 2026,Total Forecast
P003,3294.455906366938,3642.7430387975037,4521.586796806967,3805.872239931435,2744.276574721743,3226.6919056187794,3180.0385484211747,3344.346751359463,2925.5383352627387,1644.7668159849654,3508.9830167820696,1528.7700142018878,37368.069944255665
P008,3157.1523229939194,3490.9238350353917,4333.139876472142,3647.254273488912,2629.9029062966415,3092.212533706121,3047.503556188097,3204.9638589928886,2803.610190481562,1576.2175975202965,3362.738551567612,1465.0552136190443,35810.67471636263
P001,2993.0431039724763,3309.4651261671015,4107.902660054223,3457.6694865796494,2493.2001856482793,2931.4788940084313,2889.0938953907257,3038.3693896476457,2657.8781409223634,1494.2855864947362,3187.942931650314,1388.901438845733,33949.230839381686
